"Num_Acc","an","mois","jour","lum","agg","dep"
"201800000518",18,12,22,"1","2",350
"201800000519",18,12,23,"5","2",350
"201800000520",18,12,25,"3","2",350
"201800000521",18,2,7,"1","1",350
"201800000522",18,2,21,"2","1",350
"201800000523",18,3,8,"1","1",350
"201800000524",18,3,17,"1","1",350
"201800000525",18,6,24,"1","2",350
"201800000526",18,6,30,"1","1",350
"201800000527",18,7,26,"1","1",350
"201800000528",18,8,6,"1","1",350
"201800000529",18,8,30,"1","1",350
"201800000530",18,1,2,"1","1",350
"201800000531",18,4,21,"1","1",350
"201800000532",18,5,19,"1","1",350
"201800000533",18,5,29,"1","2",350
"201800000534",18,6,17,"3","2",350
"201800000535",18,7,9,"1","1",350
"201800000536",18,8,5,"1","2",350
"201800000537",18,10,9,"3","1",350
"201800000538",18,11,8,"1","1",350
"201800000539",18,5,25,"1","1",350
"201800000540",18,6,2,"1","1",350
"201800000541",18,6,20,"1","1",350
"201800000542",18,9,27,"1","2",350
"201800000543",18,9,27,"1","1",350
"201800000544",18,10,11,"1","1",350
"201800000545",18,12,26,"1","1",350
"201800000546",18,1,10,"1","1",220
"201800000547",18,4,5,"1","1",220
"201800000548",18,6,3,"1","1",220
"201800000549",18,10,2,"2","1",220
"201800000550",18,11,27,"1","2",220
"201800000551",18,3,23,"1","1",220
"201800000552",18,6,19,"1","2",220
"201800000553",18,7,6,"1","1",220
"201800000554",18,7,17,"1","1",220
"201800000555",18,9,7,"1","2",220
"201800000556",18,10,2,"5","2",220
"201800000557",18,11,15,"1","1",220
"201800000558",18,11,25,"5","2",220
"201800000559",18,3,17,"3","1",220
"201800000560",18,4,18,"1","2",220
"201800000561",18,4,25,"1","1",220
"201800000562",18,5,17,"1","2",220
"201800000563",18,9,6,"3","2",220
"201800000564",18,9,8,"1","1",220
"201800000565",18,10,13,"1","2",220
"201800000566",18,1,25,"2","1",220
"201800000567",18,2,10,"3","2",220
"201800000568",18,2,11,"1","1",220
"201800000569",18,5,4,"1","1",220
"201800000570",18,5,6,"1","2",220
"201800000571",18,5,12,"1","1",220
"201800000572",18,5,25,"3","2",220
"201800000573",18,6,2,"1","2",220
"201800000574",18,6,20,"1","1",220
"201800000575",18,7,18,"1","2",220
"201800000576",18,7,21,"1","2",220
"201800000577",18,8,21,"1","1",220
"201800000578",18,8,23,"4","1",220
"201800000579",18,8,31,"1","1",220
"201800000580",18,10,13,"3","1",220
"201800000581",18,10,25,"3","1",220
"201800000582",18,12,5,"5","2",220
"201800000583",18,4,20,"1","1",220
"201800000584",18,6,17,"1","1",220
"201800000585",18,7,1,"2","2",220
"201800000586",18,7,3,"1","1",220
"201800000587",18,7,13,"1","1",220
"201800000588",18,7,20,"3","1",220
"201800000589",18,9,16,"1","1",220
"201800000590",18,11,5,"1","1",220
"201800000591",18,11,13,"2","1",220
"201800000592",18,1,19,"5","2",220
"201800000593",18,12,31,"5","2",220
"201800000594",18,2,5,"1","1",220
"201800000595",18,2,6,"3","1",220
"201800000596",18,1,25,"3","1",220
"201800000597",18,2,12,"3","1",220
"201800000598",18,3,19,"3","1",220
"201800000599",18,4,5,"1","1",220
"201800000600",18,4,5,"3","1",220
"201800000601",18,4,6,"5","2",220
"201800000602",18,4,16,"1","2",220
"201800000603",18,6,2,"1","1",220
"201800000604",18,6,5,"2","1",220
"201800000605",18,6,26,"1","1",220
"201800000606",18,7,11,"1","1",220
"201800000607",18,8,1,"1","1",220
"201800000608",18,8,2,"1","1",220
"201800000609",18,9,2,"1","1",220
"201800000610",18,9,7,"1","1",220
"201800000611",18,9,17,"1","2",220
